Table archaeological_layer_age
archlayer_idlocality;archlayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history
Abri I am Schulerloch;AH m;H;H-AS;51400;4500;4500;TL (thermoluminescence) dating;lithic burnt;1998;after Böhner 2008, tab. 31; Institute for archaeometry, Heidelberg; Sample AS, Inv.-Nr. 83H6-S2;Julia Lutz;01.10.2020;Julia Lutz  01.10.20;
Abri Pié Lombard;Middle Paleolithic;Gif;;73800;9600;9600;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 3 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri Pié Lombard;Middle Paleolithic;Gif;;67000;8100;8100;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 4 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Aghitu-3 Cave;AH VII;KIA;KIA-50265;33990;890;800;14C (radiocarbon) dating;bone;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VII;KIA;KIA-50263;33780;870;790;14C (radiocarbon) dating;bone;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Alberndorf I;AH 1;VRI;VRI-1537;26100;500;500;14C (radiocarbon) dating;bone;1995;;andrew;23.06.2017;Sophie Habinger  23.06.17; andrew  12.03.20;
Alberndorf I;AH 1;ETH;ETH-13040;25400;260;260;14C (radiocarbon) dating;bone;1994;;andrew;23.06.2017;Sophie Habinger  23.06.17; andrew  12.03.20;
Alberndorf I;AH 1;ETH;ETH-13041;23170;230;230;14C (radiocarbon) dating;bone;1994;;andrew;23.06.2017;Sophie Habinger  23.06.17; andrew  12.03.20;
Alberndorf I;AH 1;VERA;VERA-0006;28250;250;250;14C (radiocarbon) dating;bone;1995;;andrew;23.06.2017;Sophie Habinger  23.06.17; andrew  12.03.20;
Alberndorf I;AH 1;VRI;VRI-1536;25350;450;450;14C (radiocarbon) dating;bone;1995;;andrew;23.06.2017;Sophie Habinger  23.06.17; andrew  12.03.20;
Alberndorf I;AH 1;VRI;VRI-1374;26900;1600;1600;14C (radiocarbon) dating;bone;1993;;andrew;23.06.2017;Sophie Habinger  23.06.17; andrew  12.03.20;
Alberndorf I;AH 1;VRI;VRI-1272;20500;1400;1400;14C (radiocarbon) dating;antler;1991;;andrew;23.06.2017;Sophie Habinger  23.06.17; andrew  12.03.20;
Angé;Level 4;;;149100;12700;12700;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;83400;5600;5600;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;80400;6500;6500;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;86800;7300;7300;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;93200;6700;6700;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;105900;6900;6900;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;92500;7900;7900;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;81800;6800;6800;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;90800;6600;6600;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;63900;4200;4200;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;65400;5200;5200;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;76600;5100;5100;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;66800;4900;4900;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;85700;6100;6100;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Angé;Level 9;;;84500;5900;5900;TL (thermoluminescence) dating;lithic burnt;2015;no lab or correlated sample number given;Klaus Herkert;21.07.2021;Klaus Herkert  21.07.21;
Apollo 11;Layer C;;;10500;300;300;AAR (amino acid racemization) dating;ostrich eggshell;;;andrew;08.10.2009;Patrick Schmidt  08.10.2009; andrew  12.10.18;
Apollo 11;Layer C;;;12200;300;300;AAR (amino acid racemization) dating;ostrich eggshell;;;andrew;08.10.2009;Patrick Schmidt  08.10.2009; andrew  12.10.18;
Apollo 11;Layer D;;;35000;1200;1200;AAR (amino acid racemization) dating;ostrich eggshell;;;andrew;08.10.2009;Patrick Schmidt  08.10.2009; andrew  12.10.18;
Apollo 11;Layer D;;;14400;100;100;AAR (amino acid racemization) dating;ostrich eggshell;;;andrew;08.10.2009;Patrick Schmidt  08.10.2009; andrew  12.10.18;
Apollo 11;Layer D;AA;AA-5825;41200;1650;1650;14C (radiocarbon) dating;ostrich eggshell;;;andrew;29.05.2010;Michaela Ecker  29.05.2010; andrew  12.10.18;
Apollo 11;Layer D;AA;AA-6448;9290;70;70;14C (radiocarbon) dating;ostrich eggshell;;The occurrence of different dates in one level are interpreted to indicate reworking of the sediments (PS);andrew;29.05.2010;Michaela Ecker  29.05.2010; andrew  12.10.18; andrew  27.11.20;
Apollo 11;Layer D;AA;AA-8562;35955;775;775;14C (radiocarbon) dating;ostrich eggshell;;;andrew;29.05.2010;Michaela Ecker  29.05.2010; andrew  12.10.18;
Apollo 11;Layer D;AA;AA-5824;9150;70;70;14C (radiocarbon) dating;ostrich eggshell;;;andrew;29.05.2010;Michaela Ecker  29.05.2010; andrew  12.10.18;
Arcy-sur-Cure - Grotte du Bison;Unit D occupation;Beta;Beta-180086;33670;450;450;14C (radiocarbon) dating;;;from middle part of unit D;andrew;04.11.2019;Klaus Herkert  04.11.19; andrew  12.03.20;
