assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
LacDuBouchet_Neotoma_975;plant remains;Europe;14C (radiocarbon) dating;14000;73000;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_985;plant remains;Europe;14C (radiocarbon) dating;14000;73000;Lac Du Bouchet;3.783333;44.916667;
LacDuBouchet_Neotoma_990;plant remains;Europe;14C (radiocarbon) dating;14000;73000;Lac Du Bouchet;3.783333;44.916667;
Laetolil Fauna;paleofauna;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 01;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 02;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 03;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 04;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 05;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 06;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 07;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 08;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 09;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 10;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 11;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 12;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 13;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 14;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 15;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 16;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 17;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 18;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 19;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 20;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 21;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 22;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 23;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 24;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Laetolil beds human remains 25;human remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
ML79;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
ML81-7;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
Ngaloba beds;human remains;Africa;U series (uranium-thorium) dating;108000;127000;Laetoli;35.21666667;-3.166666667;
RH75-a;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
RH75-a prime;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
RH75-d;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
RH75-e;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
RH80-45;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
RH80-60;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
RH80-top;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
RH81;plant remains;Africa;magnetostratigraphy, K/Ar (potassium-argon) dating;3490000;3760000;Laetoli;35.21666667;-3.166666667;
EE15 surface;feature, raw material, technology, typology;Europe;14C (radiocarbon) dating, archaeological (cultural) stratigraphy, geology, stratigraphy;26000;28000;Lagar Velho;-8.732778;39.756944;
TP06;raw material, technology, typology;Europe;14C (radiocarbon) dating, archaeological (cultural) stratigraphy, geology, stratigraphy;23000;28000;Lagar Velho;-8.732778;39.756944;
TP09;raw material, technology, typology;Europe;14C (radiocarbon) dating, archaeological (cultural) stratigraphy, geology, stratigraphy;23000;28000;Lagar Velho;-8.732778;39.756944;
child burial;symbolic artifacts;Europe;14C (radiocarbon) dating, archaeological (cultural) stratigraphy, geology, stratigraphy;27000;29000;Lagar Velho;-8.732778;39.756944;
Laibin Cultural Layer 2;feature, raw material, technology, typology;Asia;U series (uranium-thorium) dating;35500;113400;Laibin;109.091389;23.726389;
Laibin fauna layer 2;paleofauna;Asia;U series (uranium-thorium) dating;0;41900;Laibin;109.091389;23.726389;
Laibin fauna layer 2;paleofauna;Asia;U series (uranium-thorium) dating;35500;113400;Laibin;109.091389;23.726389;
Laibin fauna layer 2;paleofauna;Asia;U series (uranium-thorium) dating;110600;113400;Laibin;109.091389;23.726389;
Laibin fauna layer 2;paleofauna;Asia;U series (uranium-thorium) dating, stratigraphy;110600;780000;Laibin;109.091389;23.726389;
Laibin layer 2 human remains;human remains;Asia;U series (uranium-thorium) dating;35500;113400;Laibin;109.091389;23.726389;
Khaki 2 hominids human remains 1;human remains;Africa;stratigraphy;340000;940000;Lainyamok;36.1869917;-1.7733444;
Khaki 2 hominids human remains 2;human remains;Africa;stratigraphy;340000;940000;Lainyamok;36.1869917;-1.7733444;
Lainyamok Khaki 2 Archaeological Assemblage;raw material, technology, typology;Africa;stratigraphy;340000;940000;Lainyamok;36.1869917;-1.7733444;
Lainyamok Laminated Silts Archaeological Assemblage;raw material, technology, typology;Africa;stratigraphy;340000;940000;Lainyamok;36.1869917;-1.7733444;
Lainyamok surface collection fauna;paleofauna;Africa;stratigraphy;340000;940000;Lainyamok;36.1869917;-1.7733444;
LakeBaikal_Potsdam_390;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_391.1;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_391.2;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.08;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.13;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.155;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.18;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.205;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.23;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.255;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.28;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.305;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.33;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.355;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.38;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.405;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.43;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.455;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.48;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.505;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.53;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.555;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.58;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.605;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.63;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.655;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.68;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.705;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.73;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.755;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.78;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.805;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.83;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.855;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.88;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.905;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.93;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.955;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_392.98;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.005;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.08;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.105;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.125;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.13;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.15;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.155;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.18;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.2;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.205;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.225;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.23;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeBaikal_Potsdam_393.255;plant remains;Asia;unknown;11700;130000;Lake Baikal;105.8575;52.0795;
LakeElgygytgyn_Pangaea_11.6;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_11.7;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_11.75;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.03;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.1;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.13;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.2;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_12.24;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_4.97;plant remains;Asia;14C (radiocarbon) dating;117000;129000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_5.18;plant remains;Asia;14C (radiocarbon) dating;117000;129000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_5.76;plant remains;Asia;14C (radiocarbon) dating;117000;129000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_5.91;plant remains;Asia;14C (radiocarbon) dating;117000;129000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.02;plant remains;Asia;14C (radiocarbon) dating;117000;129000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.12;plant remains;Asia;14C (radiocarbon) dating;117000;129000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.22;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.32;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.42;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.52;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeElgygytgyn_Pangaea_6.57;plant remains;Asia;14C (radiocarbon) dating;129000;774000;Lake Elgygytgyn;172.13833;67.50666;
LakeMalawi_Neotoma_10.4;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_14.4;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_14.8;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_15.1;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_15.6;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_15.7;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_16.2;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_16.5;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_17.5;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_18.6;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_19.2;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_19.5;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_20.5;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_21.5;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_24.6;plant remains;Africa;14C (radiocarbon) dating;13000;45000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_28.5;plant remains;Africa;Ar/Ar (argon-argon) dating;45000;58000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_31.6;plant remains;Africa;Ar/Ar (argon-argon) dating;45000;58000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_32.5;plant remains;Africa;Ar/Ar (argon-argon) dating;45000;58000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_33.6;plant remains;Africa;Ar/Ar (argon-argon) dating;45000;58000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_34.5;plant remains;Africa;Ar/Ar (argon-argon) dating;45000;58000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_35.5;plant remains;Africa;Ar/Ar (argon-argon) dating;45000;58000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_37.5;plant remains;Africa;Ar/Ar (argon-argon) dating;45000;58000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_38.5;plant remains;Africa;Ar/Ar (argon-argon) dating;45000;58000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_40.5;plant remains;Africa;Ar/Ar (argon-argon) dating;58000;65000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_43.5;plant remains;Africa;Ar/Ar (argon-argon) dating;65000;73500;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_45.5;plant remains;Africa;Ar/Ar (argon-argon) dating;65000;73500;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_46.5;plant remains;Africa;Ar/Ar (argon-argon) dating;65000;73500;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_47.5;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_49;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_49.5;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_50.4;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_51.4;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_52.5;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_53.5;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_54.4;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_55.5;plant remains;Africa;Ar/Ar (argon-argon) dating;73500;90000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_56.5;plant remains;Africa;Ar/Ar (argon-argon) dating;90000;95000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_59.9;plant remains;Africa;Ar/Ar (argon-argon) dating;90000;95000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_60.6;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_61.5;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_61.8;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_62.1;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_62.5;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_62.7;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_63.2;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_63.4;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_63.5;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_63.7;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_64.3;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_64.6;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_64.9;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_65.2;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_65.4;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_65.5;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_65.8;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_66;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_66.4;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_66.5;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_67;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_67.3;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_67.5;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_67.6;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_67.8;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_68;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_68.3;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_68.4;plant remains;Africa;Ar/Ar (argon-argon) dating;95000;112000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_68.6;plant remains;Africa;Ar/Ar (argon-argon) dating;112000;114000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_70;plant remains;Africa;Ar/Ar (argon-argon) dating;112000;114000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_70.1;plant remains;Africa;Ar/Ar (argon-argon) dating;112000;114000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_70.4;plant remains;Africa;Ar/Ar (argon-argon) dating;112000;114000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_70.7;plant remains;Africa;Ar/Ar (argon-argon) dating;112000;114000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_70.8;plant remains;Africa;Ar/Ar (argon-argon) dating;112000;114000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_70.9;plant remains;Africa;Ar/Ar (argon-argon) dating;112000;114000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_71.2;plant remains;Africa;Ar/Ar (argon-argon) dating;114000;115000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_71.5;plant remains;Africa;Ar/Ar (argon-argon) dating;114000;115000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_71.7;plant remains;Africa;Ar/Ar (argon-argon) dating;114000;115000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_71.9;plant remains;Africa;Ar/Ar (argon-argon) dating;114000;115000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_72.2;plant remains;Africa;Ar/Ar (argon-argon) dating;114000;115000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_72.5;plant remains;Africa;Ar/Ar (argon-argon) dating;115000;122000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_72.7;plant remains;Africa;Ar/Ar (argon-argon) dating;115000;122000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_73.1;plant remains;Africa;Ar/Ar (argon-argon) dating;115000;122000;Lake Malawi;34.435833;-11.294333;
LakeMalawi_Neotoma_73.4;plant remains;Africa;Ar/Ar (argon-argon) dating;115000;122000;Lake Malawi;34.435833;-11.294333;
