assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Abri Pataud Eboulis 5/6 fauna;paleofauna;Europe;geology;21000;32300;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 6/7 Archaeological Assemblage;raw material, technology, typology;Europe;geology;19350;33350;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 6/7 fauna;paleofauna;Europe;geology;19350;33350;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 7/8 fauna;paleofauna;Europe;geology;28850;33550;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 8/9 fauna;paleofauna;Europe;geology;30900;33900;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 9/10 fauna;paleofauna;Europe;geology;32900;34150;Abri Pataud;1.012781;44.936947;
Abri Pataud Exc. 2005-08 Level 2 Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 10 Archaeological Assemblage;raw material, technology, typology;Europe;14C (radiocarbon) dating;33150;34150;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 10 fauna;paleofauna;Europe;14C (radiocarbon) dating;33150;34150;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 11 Archaeological Assemblage;raw material, technology, typology;Europe;14C (radiocarbon) dating;31200;34700;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 11 fauna;paleofauna;Europe;14C (radiocarbon) dating;31200;34700;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 12 Archaeological Assemblage;feature, raw material, technology, typology;Europe;14C (radiocarbon) dating;30500;34900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 12 fauna;paleofauna;Europe;14C (radiocarbon) dating;30500;34900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 13 Archaeological Assemblage;raw material, technology, typology;Europe;14C (radiocarbon) dating;33650;35450;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 13 fauna;paleofauna;Europe;14C (radiocarbon) dating;33650;35450;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 14 Archaeological Assemblage;feature, raw material, technology, typology;Europe;14C (radiocarbon) dating;32540;36450;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 14 fauna;paleofauna;Europe;14C (radiocarbon) dating;32540;36450;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 fauna;paleofauna;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 1 (P1);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 10 (PX20);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 11 (PX21);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 12 (PX22);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 13 (PX23);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
