Table geological_layer_age
geolayer_idlocality;geolayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history;
Achenheim;Grand Lehm;;;60200;6100;6100;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Lower recent loess;;;64900;5100;4700;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Lower recent loess;;;34100;4300;4300;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Lower recent loess;;;42700;7700;7700;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Lower recent loess;;;37500;2900;2900;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Lower recent loess;;;41500;5100;5100;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Lower recent loess;;;65300;8500;8500;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Upper recent loess;;;24000;2700;2700;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Upper recent loess;;;17000;2500;2500;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Upper recent loess;;;19500;1600;1600;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
