Table geological_layer_age
geolayer_idlocality;geolayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history;
Les Cottés;Unit 06;EVA;S-EVA-13668;38100;210;210;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 06;;LC10-13 (q);38400;1800;1800;OSL (optically stimulated thermoluminescence) dating;quartz;2015;Jacobs et al. 2015;Matthias Göden;22.09.2020;Matthias Göden  22.09.20;
Les Cottés;Unit 06;EVA;S-EVA-9695;38540;270;270;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 07;;LC10-16 (q);47300;2300;2300;OSL (optically stimulated thermoluminescence) dating;quartz;2015;Jacobs et al. 2015;Matthias Göden;22.09.2020;Matthias Göden  22.09.20;
Les Cottés;Unit 07;;LC10-16 (f);42900;4200;4200;IRSL (infrared stimulated luminescence) dating;feldspar;2015;Jacobs et al. 2015;Matthias Göden;22.09.2020;Matthias Göden  22.09.20;
Les Cottés;Unit 08;;LC10-18 (q);50900;2400;2400;OSL (optically stimulated thermoluminescence) dating;quartz;2015;Jacobs et al. 2015;Matthias Göden;22.09.2020;Matthias Göden  22.09.20;
Les Cottés;Unit 08;EVA;S-EVA-13673;39760;1600;1600;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 08;;LC10-17 (q);50700;2500;2500;OSL (optically stimulated thermoluminescence) dating;quartz;2015;Jacobs et al. 2015;Matthias Göden;22.09.2020;Matthias Göden  22.09.20;
Les Cottés;Unit 08;;LC10-19 (q);52700;2600;2600;OSL (optically stimulated thermoluminescence) dating;quartz;2015;Jacobs et al. 2015;Matthias Göden;22.09.2020;Matthias Göden  22.09.20;
Les Cottés;Unit 08;EVA;S-EVA-13675;41640;260;260;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 08;EVA;S-EVA-13676;42180;280;280;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 08;EVA;S-EVA-13677;39260;770;770;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 08;EVA;S-EVA-13678;38970;440;440;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 08;EVA;S-EVA-13680;37750;260;260;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 08;EVA;S-EVA-13679;39390;470;470;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 08;EVA;S-EVA-13674;34460;240;240;14C (radiocarbon) dating;bone;2012;Talamo et al. 2012;andrew;22.09.2020;Matthias Göden  22.09.20; andrew  05.03.21;
Les Cottés;Unit 08;;LC10-19 (f);48900;2800;2800;IRSL (infrared stimulated luminescence) dating;feldspar;2015;Jacobs et al. 2015;Matthias Göden;22.09.2020;Matthias Göden  22.09.20;
Les Pradelles;UL A;;;81960;780;780;U series (uranium-thorium) dating;speleothem;2007;;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Pradelles;UL A;;;71200;8600;8600;OSL (optically stimulated thermoluminescence) dating;quartz;2012;;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Pradelles;UL B;;;57600;4800;4800;TL (thermoluminescence) dating;lithic burnt;2006;;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Pradelles;UL B;Beta;Beta-219945;42000;1000000;0;14C (radiocarbon) dating;bone;2008;UL B, Facies 2a;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Pradelles;UL B;Beta;Beta-219943;40660;530;530;14C (radiocarbon) dating;bone;2008;UL B, Facies 2a;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Pradelles;UL D;Beta;Beta-191679;45240;1000000;0;14C (radiocarbon) dating;bone;2008;UL D, Facies 5;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Pradelles;UL D;Beta;Beta-191681;46780;1000000;0;14C (radiocarbon) dating;bone;2008;UL D, Facies 6;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Pradelles;UL E;Beta;Beta-191680;32440;440;440;14C (radiocarbon) dating;bone;2008;UL E/F, Facies 7/8;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Pradelles;UL F;Beta;Beta-191680;32440;440;440;14C (radiocarbon) dating;bone;2008;UL E/F, Facies 7/8;Matthias Göden;08.09.2020;Matthias Göden  08.09.20;
Les Rois;Unit 1;KIA;KIA-25249;30250;220;220;14C (radiocarbon) dating;bone;2009;dated material from Mouton+Joffroy‘s excavation 1948-52;andrew;09.09.2020;Matthias Göden  09.09.20; andrew  05.03.21;
Les Rois;Unit 1;KIA;KIA-25250;27790;200;190;14C (radiocarbon) dating;bone;2009;dated material from Mouton+Joffroy‘s excavation 1948-52;andrew;09.09.2020;Matthias Göden  09.09.20; andrew  05.03.21;
Les Rois;Unit 2;KIA;KIA-25250;27790;200;190;14C (radiocarbon) dating;bone;2009;dated material from Mouton+Joffroy‘s excavation 1948-52;andrew;09.09.2020;Matthias Göden  09.09.20; andrew  05.03.21;
Les Rois;Unit 2;KIA;KIA-25249;30250;220;220;14C (radiocarbon) dating;bone;2009;dated material from Mouton+Joffroy‘s excavation 1948-52;andrew;09.09.2020;Matthias Göden  09.09.20; andrew  05.03.21;
Les Rois;Unit 3;Ly;Ly-2171;28715;145;145;14C (radiocarbon) dating;bone;2004;dated material from Mouton+Joffroy‘s excavation 1948-52 (poss OxA);andrew;09.09.2020;Matthias Göden  09.09.20; andrew  05.03.21;
Les Rois;Unit 3;KIA;KIA-25247;28960;210;210;14C (radiocarbon) dating;bone;2009;dated material from Mouton+Joffroy‘s excavation 1948-52;andrew;09.09.2020;Matthias Göden  09.09.20; andrew  05.03.21;
Les Rois;Unit 3;KIA;KIA-25248;30440;290;280;14C (radiocarbon) dating;bone;2009;dated material from Mouton+Joffroy‘s excavation 1948-52;andrew;09.09.2020;Matthias Göden  09.09.20; andrew  05.03.21;
Lezetxiki;Unit VI;;IPH-Lz-14;234000;32000;32000;ESR (electron spin resonance) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VI;;IPH-Lz-05;231000;92000;49000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VI;;IPH-Lz-04;288000;34000;26000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VI;;IPH-Lz-06;200000;129000;58000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VII;;IPH-Lz-09;121000;4000;4000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VII;;IPH-Lz-11;200000;142000;52000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VII;;IPH-Lz-10;129000;24000;20000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VII;;IPH-Lz-15;225000;40000;40000;ESR (electron spin resonance) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VII;;IPH-Lz-08;115000;9000;8000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VII;;IPH-Lz-07;140000;6000;6000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit VII;;IPH-Lz-12;260000;1000000;0;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit Va;;IPH-Lz-03;186000;164000;61000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit Va;;IPH-Lz-13;130000;17000;17000;ESR (electron spin resonance) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit Va;;IPH-Lz-02;70000;9000;9000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit Va;;IPH-Lz-01;57000;2000;2000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit Vb;;IPH-Lz-03;186000;164000;61000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit Vb;;IPH-Lz-13;130000;17000;17000;ESR (electron spin resonance) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit Vb;;IPH-Lz-02;70000;9000;9000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lezetxiki;Unit Vb;;IPH-Lz-01;57000;2000;2000;U series (uranium-thorium) dating;bone;2005;;Matthias Göden;04.12.2016;Matthias Göden  04.12.16;
Lianhua;Layer 2;;;136000;8000;8000;U series (uranium-thorium) dating;tooth;;230Th, bear tooth, sample ZLB-1;Xiangmei Kong;28.07.2014;Susanne Haupt  28.07.14; andrew  26.11.18; andrew  06.06.19; Xiangmei Kong  21.09.21;
Lianhua;Layer 2;;;104000;8000;8000;U series (uranium-thorium) dating;tooth;;227Th, deer tooth, sample ZLB-2;Xiangmei Kong;28.07.2014;Susanne Haupt  28.07.14; andrew  26.11.18; andrew  06.06.19; Xiangmei Kong  21.09.21;
Lianhua;Layer 2;;;111000;13000;12000;U series (uranium-thorium) dating;tooth;;227Th, bear tooth, sample ZLB-1;Xiangmei Kong;28.07.2014;Susanne Haupt  28.07.14; andrew  26.11.18; andrew  06.06.19; Xiangmei Kong  21.09.21;
Lianhua;Layer 2;;0217;270000;63000;39000;U series (uranium-thorium) dating;speleothem;2005;230Th.This sample was taken from the calcium plate developed between layer 2 and layer 3.;Xiangmei Kong;21.09.2021;Xiangmei Kong  21.09.21; Xiangmei Kong  23.09.21;
Lianhua;Layer 2;;;127000;5000;5000;U series (uranium-thorium) dating;tooth;;230Th, deer tooth, sample ZLB-2;Xiangmei Kong;28.07.2014;Susanne Haupt  28.07.14; andrew  26.11.18; andrew  06.06.19; Xiangmei Kong  21.09.21;
Lianhua;Layer 3;;0240;326000;148000;59000;U series (uranium-thorium) dating;speleothem;2005;230Th;Xiangmei Kong;21.09.2021;Xiangmei Kong  21.09.21; Xiangmei Kong  23.09.21;
Lichtenberg;Lichtenberg Layer 11a;EVA;EVA-L-EVA 2022;91500;9100;9100;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lichtenberg;Lichtenberg Layer 11a;EVA;EVA-L-EVA 2024;89500;8200;8200;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lichtenberg;Lichtenberg Layer 6;EVA;EVA-L-EVA 2012;70700;9400;9400;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lichtenberg;Lichtenberg Layer 7;EVA;EVA-L-EVA 2014;71600;7000;7000;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lichtenberg;Lichtenberg Layer 7;EVA;EVA-L-EVA 2017;70800;8000;8000;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lichtenberg;Lichtenberg Layer 7;;55/47F;52000;6800;6800;TL (thermoluminescence) dating;quartz;1991;after Veil et al. 1994, tab. 2; GH II; laboratory unknown; analysis number = sample name; not used for geological stratigraphy;Julia Lutz;26.10.2021;Julia Lutz  26.10.21; Julia Lutz  08.12.21; Julia Lutz  21.07.22;
Lichtenberg;Lichtenberg Layer 7;;50/46.5F;66200;14600;14600;TL (thermoluminescence) dating;quartz;1991;after Veil et al. 1994, tab. 2; GH II; laboratory unknown; analysis number = sample name; not used for geological stratigraphy;Julia Lutz;26.10.2021;Julia Lutz  26.10.21; Julia Lutz  08.12.21; Julia Lutz  21.07.22;
Lichtenberg;Lichtenberg Layer 8;EVA;EVA-L-EVA 2015;71500;7000;7000;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lichtenberg;Lichtenberg Layer 9;EVA;EVA-L-EVA 2016;81500;8800;8800;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lichtenberg;Lichtenberg Layer 9;EVA;EVA-L-EVA 2023;67400;6300;6300;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lichtenberg;Lichtenberg Layer 9;EVA;EVA-L-EVA 2018;73100;8000;8000;TL (thermoluminescence) dating;;2022;after Weiss/Hein et al. 2022, tab. 2;Julia Lutz;20.06.2022;Julia Lutz  20.06.22;
Lincoln Cave;Lincoln Cave North;;U-614;252600;35600;35600;U series (uranium-thorium) dating;speleothem;;maximum age, flowstone under Lincoln cave north deposit;andrew;21.07.2010;Michaela Ecker 2010-07-21; andrew  06.06.19;
Lincoln Cave;Lincoln Cave North;;U-587;115300;7700;7700;U series (uranium-thorium) dating;speleothem;;minimum age, flowstone above Lincoln cave north deposit;andrew;21.07.2010;Michaela Ecker 2010-07-21; andrew  06.06.19;
Lion Cavern;Cave Infill;GrN;GrN-5620;28130;260;260;14C (radiocarbon) dating;charcoal;;;Patrick Schmidt;08.10.2009;
Lion Cavern;Cave Infill;GrN;GrN-5313;43200;1350;1350;14C (radiocarbon) dating;charcoal;;;Patrick Schmidt;08.10.2009;
Lion Cavern;Cave Infill;Y;Y-1827;22280;400;400;14C (radiocarbon) dating;charcoal;;;Patrick Schmidt;08.10.2009;
Lion Cavern;Hillwash Deposit;Y;Y-1713;9640;80;80;14C (radiocarbon) dating;charcoal;;;Patrick Schmidt;08.10.2009;
Loiyangalani Site HcJd1;Unit 1;;;65000;4400;4400;OSL (optically stimulated thermoluminescence) dating;;0;Dated material comes from near the top of unit 1. there is no precise date when the material was dated, but it is shurely after 2000.;Gregor Bader;21.05.2012;
Loiyangalani Site HcJd1;Unit 2;;;8600;;;OSL (optically stimulated thermoluminescence) dating;;0;there is no precise date when the material was dated, but it was shurely after 2000.;Gregor Bader;21.05.2012;
Loiyangalani Site HcJd1;Unit 3;;;;;;;;;;Gregor Bader;21.05.2012;
Loiyangalani Site HcJd1;Unit 4;;;;;;;;;;Gregor Bader;21.05.2012;
Longquan Cave;Layer 2;;XA-9329;30840;190;190;14C (radiocarbon) dating;bone;2016;No lab info, standard deviation reported as 19, we changed to 190;Qi Zeng;09.04.2021;Qi Zeng  09.04.21;
Longquan Cave;Layer 2;Beta;Beta-377066;27770;130;130;14C (radiocarbon) dating;charcoal;2016;;Qi Zeng;09.04.2021;Qi Zeng  09.04.21;
Longquan Cave;Layer 2;;BA-11131;36830;210;210;14C (radiocarbon) dating;charcoal;2016;No lab info;Qi Zeng;09.04.2021;Qi Zeng  09.04.21;
Longquan Cave;Layer 2;;BA-11130;40740;300;300;14C (radiocarbon) dating;charcoal;2016;No lab info;Qi Zeng;09.04.2021;Qi Zeng  09.04.21;
Longquan Cave;Layer 2;;BA-110238;28610;170;170;14C (radiocarbon) dating;charcoal;2016;No lab info;Qi Zeng;09.04.2021;Qi Zeng  09.04.21;
Longquan Cave;Layer 2;;BA-110237;26620;210;210;14C (radiocarbon) dating;charcoal;2016;No lab info;Qi Zeng;09.04.2021;Qi Zeng  09.04.21;
Longquan Cave;Layer 3;;BA-111129;34280;170;170;14C (radiocarbon) dating;charcoal;2016;No lab info;Qi Zeng;09.04.2021;Qi Zeng  09.04.21;
Longtanshan Site 1;Layer I;MIL;LTSY-10;60000;2000;2000;U series (uranium-thorium) dating;bone;2007;230Th;Xiangmei Kong;19.01.2022;Xiangmei Kong  19.01.22;
Longtanshan Site 1;Layer II;MIL;LTSY-9;80000;;;U series (uranium-thorium) dating;bone;2007;230Th, and the 227Th dating result is 79 ka;Xiangmei Kong;19.01.2022;Xiangmei Kong  19.01.22;
Longtanshan Site 1;Layer III;MIL;LTSY-8;64000;2000;2000;U series (uranium-thorium) dating;bone;2007;230Th, and the 227Th dating result is 83 ka;Xiangmei Kong;19.01.2022;Xiangmei Kong  19.01.22;
Longtanshan Site 2;Layer 4;PKU;;30500;800;800;14C (radiocarbon) dating;charcoal;;charcoal and burnt bone;Xiangmei Kong;13.06.2014;Eike Inacker  13.06.14; andrew  26.11.18; andrew  06.06.19; Xiangmei Kong  18.01.22;
Ltsen-2;Layer 8;;;1280000;50000;50000;Ar/Ar (argon-argon) dating;;;;Eike Inacker;12.05.2014;Eike Inacker  12.05.14;
Lunadong;Layer 03;UQN;LN12-03;126900;1500;1500;U series (uranium-thorium) dating;speleothem;;Only LN12-03 and LN12-07 are pure enough to return reliable age estimates. The other three samples are too dirty and discussion.
severely altered, not suitable for dating., material_dated: flowstone;Leonie Horst;13.01.2015;Leonie Horst  13.01.15;
Lunadong;Layer 03;UQN;LN12-07;70200;1400;1400;U series (uranium-thorium) dating;speleothem;;;Leonie Horst;13.01.2015;Leonie Horst  13.01.15;
Luonan;Layer 1;;;;;;;;;No specific data present;Eike Inacker;12.11.2013;Eike Inacker  12.11.13;
Lurgrotte-Vorhöhle;Lurgrotte-Vorhöhle SE 54;VERA;VERA-1299;41000;1000;900;14C (radiocarbon) dating;Bone;2006;after Fladerer et al. 2006, tab. 1; AMS, Biber;Julia Lutz;01.09.2022;Julia Lutz  01.09.22;
Lurgrotte-Vorhöhle;Lurgrotte-Vorhöhle SE 54;VERA;VERA-0069;52400;3100;2200;14C (radiocarbon) dating;Bone;2006;after Fladerer et al. 2006, tab. 1; AMS, Rentier;Julia Lutz;01.09.2022;Julia Lutz  01.09.22;
Lurgrotte-Vorhöhle;Lurgrotte-Vorhöhle SE 55a;VERA;VERA-1300;47100;2300;1800;14C (radiocarbon) dating;Bone;2006;after Fladerer et al. 2006, tab. 1; AMS, Schneehase;Julia Lutz;01.09.2022;Julia Lutz  01.09.22;
Lynford Quarry;Association A;OxLum;OxL-1337;78600;6700;6700;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Association D;OxLum;OxL-1497;34700;2900;2900;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Association D;OxLum;OxL-1500;32400;2200;2200;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Association E;OxLum;OxL-1498;970;80;80;OSL (optically stimulated thermoluminescence) dating;sediment;2012;Holocene;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Association E;OxLum;OxL-1499;1080;120;120;OSL (optically stimulated thermoluminescence) dating;sediment;2012;Holocene;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Plantation sands;OxLum;OxL-1502;169200;26900;26900;OSL (optically stimulated thermoluminescence) dating;sediment;2012;Unit designated as pre-A;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Plantation sands;OxLum;OxL-1501;175600;27700;27700;OSL (optically stimulated thermoluminescence) dating;sediment;2012;Unit designated as pre-A;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:01;OxLum;OxL-1496;57400;4200;4200;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:02;OxLum;OxL-1494;69900;6100;6100;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:02;OxLum;OxL-1495;59500;4900;4900;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:02;OxLum;OxL-1493;65000;6900;6900;OSL (optically stimulated thermoluminescence) dating;sediment;2012;There is a \"?\" in front of the unit designation in the published table 7 in Marshall et al. 2020. This could mean that the unit designation is not entirely sure.;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:03;OxA;OxL-11571;53700;3100;3100;14C (radiocarbon) dating;tooth;2012;Mammoth tooth, anterior fragment of molar;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:03;OxLum;OxL-1490;64800;5500;5500;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:03;OxA;OxL-11572;49700;1000000;1000000;14C (radiocarbon) dating;bone;2012;Mammoth bone, part of mandible;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:03;OxLum;OxL-1338;58300;5600;5600;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:05;OxLum;OxL-1340;60700;4300;4300;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:05;OxLum;OxL-1492;53400;3300;3300;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-ii:05;OxLum;OxL-1491;55900;3900;3900;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Lynford Quarry;Unit B-iii;OxLum;OxL-1339;48000;3200;3200;OSL (optically stimulated thermoluminescence) dating;sediment;2012;;maria;15.12.2021;maria  15.12.21;
Ma UOi;fossiliferous breccia room A1;;MU1;193000;17000;17000;U series (uranium-thorium) dating;;0;;Susanne Haupt;13.10.2016;Susanne Haupt  13.10.16; Susanne Haupt  14.10.16;
Ma UOi;speleothems room A2 + A3;;MU2;49000;4000;4000;U series (uranium-thorium) dating;;0;;Susanne Haupt;13.10.2016;Susanne Haupt  13.10.16;
Maastricht-Belvédère;unit IV;OxLum;OXTL712K23;218000;24000;24000;TL (thermoluminescence) dating;;;;Yezad Pardiwalla;27.09.2018;Hannes Wegeng  27.09.18; andrew  26.11.18; Yezad Pardiwalla  19.06.19;
Magubike;Pit 3 Geolayer 3;TO;TO-13422;2990;60;60;14C (radiocarbon) dating;shell;2006;;andrew;17.12.2012;Gregor Bader  17.12.12;
Magubike;Pit 3 Geolayer 5;TO;TO-13423;41790;690;690;14C (radiocarbon) dating;shell;2006;;andrew;17.12.2012;Gregor Bader  17.12.12;
Maibulak;Unit 3B;EVA;EVA-1301;24000;2100;2100;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;unknown;2017;Material is polymineral;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 3B;EVA;EVA-1301;24000;1900;1900;OSL (optically stimulated thermoluminescence) dating;quartz;2017;;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 3C;EVA;EVA-1302;25300;2600;2600;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;unknown;2017;Material is polymineral;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 3C;EVA;EVA-1302;22700;1700;1700;OSL (optically stimulated thermoluminescence) dating;quartz;2017;;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4B;EVA;EVA-1303;26400;2000;2000;OSL (optically stimulated thermoluminescence) dating;quartz;2017;;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4B;EVA;EVA-1303;29600;2700;2700;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;unknown;2017;Material is polymineral;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4C;EVA;EVA-1304;29000;2200;2200;OSL (optically stimulated thermoluminescence) dating;quartz;2017;;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4C;EVA;EVA-1304;33000;2900;2900;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;unknown;2017;Material is polymineral;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4D;EVA;EVA-1305;35400;3000;3000;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;unknown;2017;Material is polymineral;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4D;EVA;EVA-1305;30900;2400;2400;OSL (optically stimulated thermoluminescence) dating;quartz;2017;;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4E;EVA;EVA-1306;33600;2600;2600;OSL (optically stimulated thermoluminescence) dating;quartz;2017;;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4E;EVA;EVA-1306;37200;3100;3100;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;unknown;2017;Material is polymineral;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 4E;EVA;EVA-1306;37200;3100;3100;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;unknown;2017;Material is polymineral;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 5;MAMS;MAMS-19130;35420;450;450;14C (radiocarbon) dating;charcoal;2017;;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 5;EVA;EVA-1307;36700;2800;2800;OSL (optically stimulated thermoluminescence) dating;quartz;2017;;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maibulak;Unit 5;EVA;EVA-1307;43400;3600;3600;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;unknown;2017;Material is polymineral;Abay Namen;03.11.2020;Abay Namen  03.11.20;
Maisières-Canal;MH;OxA;OxA-18010;28650;200;200;14C (radiocarbon) dating;bone;2010;cut radius of Rangifer tarandus. It is from a secondary stratigraphic context.;andrew;26.03.2019;Hannes Wegeng  26.03.19; Hannes Wegeng  28.03.19;
Maisières-Canal;MH;OxA;OxA-18009;28150;160;160;14C (radiocarbon) dating;bone;2010;gnawed carpal of Mammuthus primigenius;andrew;26.03.2019;Hannes Wegeng  26.03.19;
Maisières-Canal;MH;OxA;OxA-18013;28240;150;150;14C (radiocarbon) dating;bone;2010;cut tibia of Ursus arctos. It is from a secondary stratigraphic context.;andrew;26.03.2019;Hannes Wegeng  26.03.19; Hannes Wegeng  28.03.19;
Maisières-Canal;MH;OxA;OxA-18011;28540;180;180;14C (radiocarbon) dating;bone;2010;cut femur of Rangifer tarandus. It is from a secondary stratigraphic context.;andrew;26.03.2019;Hannes Wegeng  26.03.19; Hannes Wegeng  28.03.19;
