assemblage.name;assemblage.created;country_continent.continent;locality.idlocality;locality.country;locality.created;
Mario Bernardini Unit D13 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Mario Bernardini Unit D2 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Mario Bernardini Unit D3 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Mario Bernardini Unit D4 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Mario Bernardini Unit D5 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Mario Bernardini Unit D6 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Mario Bernardini Unit D7 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Mario Bernardini Unit D8 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Mario Bernardini Unit D9 finds;20.03.2020;Europe;Mario Bernardini;Italy;20.03.2020;
Micromammals Unit 2;26.03.2021;Europe;Poggetti Vecchi;Italy;16.03.2018;
Mochi Unit C finds;30.01.2020;Europe;Mochi;Italy;30.01.2020;
Mochi Unit D finds;30.01.2020;Europe;Mochi;Italy;30.01.2020;
Mochi Unit F finds;30.01.2020;Europe;Mochi;Italy;30.01.2020;
Mochi Unit G base finds;30.01.2020;Europe;Mochi;Italy;30.01.2020;
Mochi Unit G finds;30.01.2020;Europe;Mochi;Italy;30.01.2020;
Mochi Unit G-H finds;30.01.2020;Europe;Mochi;Italy;30.01.2020;
Mochi Unit I Fauna;28.04.2020;Europe;Mochi;Italy;30.01.2020;
Mochi Unit I finds;30.01.2020;Europe;Mochi;Italy;30.01.2020;
Molare Layer 43 finds;23.04.2020;Europe;Molare;Italy;26.10.2015;
Molare Layer 44 finds;23.04.2020;Europe;Molare;Italy;26.10.2015;
Molare Layer 46 finds;23.04.2020;Europe;Molare;Italy;26.10.2015;
Molare Layer 47 finds;23.04.2020;Europe;Molare;Italy;26.10.2015;
Molare Layer 48 finds;23.04.2020;Europe;Molare;Italy;26.10.2015;
Molare Layer 49 finds;23.04.2020;Europe;Molare;Italy;26.10.2015;
Molare Layer 56 finds;23.04.2020;Europe;Molare;Italy;26.10.2015;
Molare Level 36-46 Fauna;09.06.2020;Europe;Molare;Italy;26.10.2015;
Molare Level 47-49 Fauna;09.06.2020;Europe;Molare;Italy;26.10.2015;
Molare Level 50-67 Fauna;09.06.2020;Europe;Molare;Italy;26.10.2015;
Monte Pellegrino Fauna;10.05.2011;Europe;Monte Pellegrino;Italy;10.05.2011;
Monte Poggiolo layers 102 to 122 lithics;17.04.2019;Europe;Monte Poggiolo;Italy;17.04.2019;
Monte Poggiolo surface collection lithics;17.04.2019;Europe;Monte Poggiolo;Italy;17.04.2019;
Monte delle Gioie lithics;07.06.2019;Europe;Monte delle Gioie;Italy;07.06.2019;
Monticchio_Neotoma_0.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1009.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_10147.5;14.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_10160.5;14.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1019.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_102.1;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1029.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_104;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1049.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1059.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1071;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_108.7;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1111;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1121;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_113.3;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_113.4;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1130.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1162.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1172.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1182.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1192;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1202;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1211;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1238;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_124;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1246;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1250.7;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1255.3;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1260.3;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1265;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1269.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1274;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1279.2;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1283.7;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1288.4;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1293;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1298;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1303;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1308.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1312.7;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1317;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1321.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1326.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1331.3;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_134;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1340;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1346;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1351;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1356;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1362;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1366;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1370;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1372;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1376.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1379.8;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1386.3;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1390.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1396.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1401;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1407;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1413.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1418.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1421.8;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1422.6;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1423.4;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1423.8;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1425;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_144.8;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1461.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1481;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1490.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1500.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1518;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_154;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_159;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1655.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1679.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1689.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1699;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1729;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1737;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1746.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1765.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1785.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1796;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_180.4;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_180.5;15.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1808.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1817.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1826.2;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_184;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1844.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1860.9;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1883.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1907.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1918;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1927.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1936.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_194;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_199.1;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_1994;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2022;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2037.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2071.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2091;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2120.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_214.9;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_220.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_225.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2260;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2270;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2280;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2354.1;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_236;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2364.3;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2378;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2399.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2422.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_245.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2456.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2473.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2485.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_25;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2500;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2513;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_254.6;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2547.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2574.5;23.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2592;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2638;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_265.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2668.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2697.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2713;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_273.3;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2736;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_275.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2760;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2772.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2789.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2831;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2888;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2889;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2890;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2891;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2892;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2893;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2894;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2895;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2953;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2968;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2973;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2978;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2982.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2987;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2992;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_2997.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3002;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3007;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3012.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3017.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3023;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3028;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3030.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3036.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3041;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3047;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3052.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3057.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3068.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3074.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3078.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3083.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3094.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3098.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3103;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3108;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3112.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3121.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3126.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3130.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3132.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3137.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3142;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_315.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3155;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3160;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3170;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3177;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3187;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_319.3;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3196;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_320.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3204;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3212;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3222.2;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3231.7;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3242.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3256.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3262.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3276;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3276.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3282;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3290.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3291;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_330.7;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3300;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3309.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3318.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3328.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3337;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3343.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3353.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3358.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3360.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3363.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_337.4;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3373;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3383;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3393;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3401.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3406.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3409.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3415;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3420;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_343.4;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3430;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_344.2;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3440;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3446;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3450;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3454;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3457.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3466.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3483.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3503;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3511.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_352.7;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3548;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3567.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3586;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3596;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3606.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_363.7;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3639.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3659;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3677.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3698.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_370.3;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3718.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3748;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3769.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3792;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3803.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_382.3;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3821.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3833;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3854;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3861;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3868.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3886;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3907;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_391;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3921;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_393.2;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3943.3;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3958.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3975;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_398.9;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_3992.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_4;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_4016.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_4041.7;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_4050;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_4060.8;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_4075.1;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_409.5;11.02.2022;Europe;Monticchio;Italy;11.02.2022;
Monticchio_Neotoma_4090.5;12.02.2022;Europe;Monticchio;Italy;11.02.2022;
