"","assemblage.name","assemblage.category","country_continent.continent","locality.idlocality","locality.x","locality.y","query_age_min","query_age_max"
"63","Abri Pataud Level 4 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,25400,27900
"64","Abri Pataud Level 4 human remains 1","human remains","Europe","Abri Pataud",1.012781,44.936947,25400,27900
"65","Abri Pataud Level 4 human remains 2","human remains","Europe","Abri Pataud",1.012781,44.936947,25400,27900
"66","Abri Pataud Level 4 human remains 3","human remains","Europe","Abri Pataud",1.012781,44.936947,25400,27900
"67","Abri Pataud Level 5 Archaeological Assemblage","miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Pataud",1.012781,44.936947,21000,29500
"68","Abri Pataud Eboulis 10/11 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,33150,34700
"69","Abri Pataud Eboulis 10/11 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,33150,34700
"70","Abri Pataud Eboulis 11/12 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,31200,34900
"71","Abri Pataud Eboulis 11/12 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,31200,34900
"72","Abri Pataud Eboulis 12/13 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,30500,35450
"73","Abri Pataud Eboulis 12/13 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,30500,35450
"74","Abri Pataud Eboulis 13/14 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,33650,36450
"75","Abri Pataud Eboulis 13/14 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,33650,36450
"76","Abri Pataud Eboulis 3/4 Archaeological Assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Pataud",1.012781,44.936947,19800,27000
"77","Abri Pataud Eboulis 5/6 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,21000,32300
"78","Abri Pataud Eboulis 6/7 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,19350,33350
